19/03/2022, 01:35
Project Statistics

                 	Segments	 Words	Characters (w/o spaces)	Characters (w/ spaces)	#Files	
Total:           	  118436	495963	                5314838	               5317355	  2490	
Remaining:       	   33884	130194	                1351416	               1352058	   791	
Unique:          	  114715	493514	                5297142	               5299655	  2490	
Unique Remaining:	   33730	129885	                1348990	               1349628	   779	


Individual File Statistics:

File Name	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (w/o spaces)	Remaining Characters (w/o spaces)	Unique Characters (w/o spaces)	Unique Remaining Characters (w/o spaces)	Total Characters (w/ spaces)	Remaining Characters (w/ spaces)	Unique Characters (w/ spaces)	Unique Remaining Characters (w/ spaces)	
0001.txt 	            44	                 5	             44	                        5	        220	             27	         220	                    27	                         2474	                              268	                          2474	                                     268	                        2475	                             269	                         2475	                                    269	
0002.txt 	            44	                 1	             44	                        1	        224	              4	         224	                     4	                         2563	                               44	                          2563	                                      44	                        2564	                              44	                         2564	                                     44	
0003.txt 	            45	                 0	             45	                        0	        274	              0	         274	                     0	                         2841	                                0	                          2841	                                       0	                        2842	                               0	                         2842	                                      0	
0004.txt 	            32	                 0	             32	                        0	        211	              0	         211	                     0	                         2404	                                0	                          2404	                                       0	                        2405	                               0	                         2405	                                      0	
0005.txt 	            46	                 1	             46	                        1	        251	              7	         251	                     7	                         2650	                               91	                          2650	                                      91	                        2651	                              91	                         2651	                                     91	
0006.txt 	            39	                 0	             39	                        0	        229	              0	         229	                     0	                         2461	                                0	                          2461	                                       0	                        2462	                               0	                         2462	                                      0	
0007.txt 	            34	                 1	             34	                        1	        224	              4	         224	                     4	                         2443	                               33	                          2443	                                      33	                        2444	                              33	                         2444	                                     33	
0008.txt 	            40	                 1	             40	                        1	        231	              9	         231	                     9	                         2044	                               94	                          2044	                                      94	                        2045	                              94	                         2045	                                     94	
0009.txt 	            37	                 2	             37	                        2	        203	             19	         203	                    19	                         2290	                              195	                          2290	                                     195	                        2291	                             195	                         2291	                                    195	
0010.txt 	            35	                 0	             35	                        0	        201	              0	         201	                     0	                         2127	                                0	                          2127	                                       0	                        2128	                               0	                         2128	                                      0	
0011.txt 	            36	                 2	             36	                        2	        217	             13	         217	                    13	                         2269	                              123	                          2269	                                     123	                        2270	                             123	                         2270	                                    123	
0012.txt 	            36	                 1	             36	                        1	        212	              9	         212	                     9	                         2252	                              104	                          2252	                                     104	                        2253	                             104	                         2253	                                    104	
0013.txt 	            37	                 2	             37	                        2	        206	              6	         206	                     6	                         2224	                               30	                          2224	                                      30	                        2225	                              31	                         2225	                                     31	
0014.txt 	            30	                 1	             29	                        1	        187	              6	         187	                     6	                         2144	                               64	                          2142	                                      64	                        2145	                              64	                         2143	                                     64	
0015.txt 	            31	                 2	             31	                        2	        212	             14	         212	                    14	                         2172	                              149	                          2172	                                     149	                        2173	                             149	                         2173	                                    149	
0016.txt 	            34	                 2	             34	                        2	        186	              9	         186	                     9	                         2035	                               65	                          2035	                                      65	                        2036	                              65	                         2036	                                     65	
0017.txt 	            41	                 2	             41	                        2	        195	             10	         195	                    10	                         2222	                              155	                          2222	                                     155	                        2223	                             155	                         2223	                                    155	
0018.txt 	            37	                 1	             37	                        1	        223	              4	         223	                     4	                         2196	                               38	                          2196	                                      38	                        2197	                              38	                         2197	                                     38	
0019.txt 	            34	                 0	             34	                        0	        198	              0	         198	                     0	                         2088	                                0	                          2088	                                       0	                        2089	                               0	                         2089	                                      0	
0020.txt 	            31	                 1	             31	                        1	        221	              7	         221	                     7	                         2247	                               94	                          2247	                                      94	                        2248	                              94	                         2248	                                     94	
0021.txt 	            38	                 2	             38	                        2	        222	             10	         222	                    10	                         2162	                               84	                          2162	                                      84	                        2163	                              84	                         2163	                                     84	
0022.txt 	            35	                 0	             35	                        0	        173	              0	         173	                     0	                         2145	                                0	                          2145	                                       0	                        2146	                               0	                         2146	                                      0	
0023.txt 	            39	                 1	             39	                        1	        197	              6	         197	                     6	                         2166	                               63	                          2166	                                      63	                        2167	                              63	                         2167	                                     63	
0024.txt 	            35	                 2	             34	                        2	        179	             12	         179	                    12	                         2147	                               94	                          2145	                                      94	                        2148	                              94	                         2146	                                     94	
0025.txt 	            36	                 0	             36	                        0	        183	              0	         183	                     0	                         2124	                                0	                          2124	                                       0	                        2125	                               0	                         2125	                                      0	
0026.txt 	            44	                 2	             44	                        2	        189	             10	         189	                    10	                         2128	                               97	                          2128	                                      97	                        2129	                              97	                         2129	                                     97	
0027.txt 	            36	                 0	             36	                        0	        198	              0	         198	                     0	                         2070	                                0	                          2070	                                       0	                        2072	                               0	                         2072	                                      0	
0028.txt 	            43	                 0	             43	                        0	        227	              0	         227	                     0	                         2238	                                0	                          2238	                                       0	                        2239	                               0	                         2239	                                      0	
0029.txt 	            39	                 1	             39	                        1	        223	              5	         223	                     5	                         2235	                               43	                          2235	                                      43	                        2236	                              43	                         2236	                                     43	
0030.txt 	            46	                 2	             46	                        2	        221	              7	         221	                     7	                         2258	                               63	                          2258	                                      63	                        2259	                              63	                         2259	                                     63	
0031.txt 	            35	                 0	             35	                        0	        212	              0	         212	                     0	                         2132	                                0	                          2132	                                       0	                        2133	                               0	                         2133	                                      0	
0032.txt 	            35	                 2	             35	                        2	        199	              6	         199	                     6	                         2040	                               39	                          2040	                                      39	                        2041	                              40	                         2041	                                     40	
